"Year","PgCO2_to_atmos_cumulative"
1,0.0016312188905067
2,0.0049202958684777
3,0.00969022386758783
4,0.0155082310832402
5,0.0219332927001839
6,0.0286558103292084
7,0.0355109862355739
8,0.0424415624914316
9,0.0494495375668263
10,0.0565619054829413
11,0.0638105400606804
12,0.0712228426631053
13,0.0788186794764977
14,0.0866104314162647
15,0.0946043365922718
16,0.102802115131809
17,0.111202499686389
18,0.11980224782011
19,0.128597111837782
20,0.137582406319178
21,0.146753354486371
22,0.156105268700688
23,0.165633642583677
24,0.175334172012894
25,0.185202760092831
26,0.19523549001496
27,0.205428568748844
28,0.215778336473681
29,0.226281260751507
30,0.236933969075158
31,0.247733114703978
32,0.258675504624543
33,0.269757974611729
34,0.280977478983452
35,0.29233107877541
36,0.303815942908708
37,0.315429385439741
38,0.327168875101891
39,0.339031950803113
40,0.35101626405207
41,0.363119803208917
42,0.375340791313297
43,0.387677262138825
44,0.400127403580222
45,0.412689545389733
46,0.425362148583426
47,0.438143823888257
48,0.45103330879928
49,0.464029429174412
50,0.477131124023615
51,0.490337455542761
52,0.503647594862584
53,0.517060796936988
54,0.530576418374536
55,0.54419392307662
56,0.557912847260849
57,0.571732816940011
58,0.585653582142109
59,0.599674943458663
60,0.613796763253533
61,0.628018970001425
62,0.642341685646518
63,0.656765044566384
64,0.671289150885084
65,0.685914237632432
66,0.700640539632601
67,0.715468348105851
68,0.730398011490938
69,0.745429930172652
70,0.760564552511759
71,0.775802371665296
72,0.791143922893097
73,0.806589781175396
74,0.822140559040007
75,0.837796904557195
76,0.853559499468187
77,0.869429057242742
78,0.885406321428646
79,0.901492063988476
80,0.917687083703757
81,0.933992204718857
82,0.950408274894036
83,0.966936170544584
84,0.983576787097167
85,1.00033103352515
86,1.01719983819471
87,1.03418414728815
88,1.0512849234258
89,1.06850314424071
90,1.08583980134222
91,1.10329590735135
92,1.12087247684833
93,1.13857053596402
94,1.15639112128808
95,1.17433527875523
96,1.19240406266171
97,1.21059853476938
98,1.22891976347265
99,1.24736882301366
100,1.26594679273696
101,1.28465475637833
102,1.30349380138414
103,1.32246501825892
104,1.34156949993943
105,1.36080834119387
106,1.38018263804517
107,1.39969348721728
108,1.41934198560377
109,1.4391292297579
110,1.45905631540336
111,1.47912433696506
112,1.49933438711936
113,1.51968755636296
114,1.54018493260001
115,1.56082760074682
116,1.58161664235348
117,1.60255313524211
118,1.62363815322733
119,1.64487276567211
120,1.66625803718173
121,1.68779502734936
122,1.70948479046569
123,1.73132837524387
124,1.75332682455841
125,1.77548117519751
126,1.79779245868313
127,1.82026169881258
128,1.84288991255908
129,1.86567811003128
130,1.88862729424756
131,1.91173846091404
132,1.93501259826471
133,1.95845068689598
134,1.98205369961418
135,2.00582260129417
136,2.02975834874806
137,2.05386189060326
138,2.07813416718939
139,2.10257611043347
140,2.12718864376324
141,2.15197268201812
142,2.17692913136767
143,2.2020588892372
144,2.2273628442403
145,2.25284187611809
146,2.27849685568485
147,2.30432864478003
148,2.33033809622608
149,2.35652605379223
150,2.38289335216379
151,2.40944081691687
152,2.43616926449828
153,2.46307950221039
154,2.49017232820091
155,2.51744853145718
156,2.54490889180499
157,2.57255417991165
158,2.60038515729318
159,2.62840257632543
160,2.65660718025898
161,2.6849997032377
162,2.71358087032075
163,2.74235139750793
164,2.77131199176814
165,2.80046335107101
166,2.82980616442131
167,2.85934111189616
168,2.88906886468492
169,2.91899008513153
170,2.94910542677928
171,2.97941553441781
172,3.0099210441323
173,3.04062258335466
174,3.07152077091668
175,3.10261621710494
176,3.13390952371754
177,3.16540128412233
178,3.19709208331672
179,3.22898249798893
180,3.2610730965805
181,3.29336443935014
182,3.3258570784386
183,3.35855155793479
184,3.3914484139427
185,3.42454817464941
186,3.45785136039379
187,3.49135848373606
188,3.52507004952802
189,3.55898655498386
190,3.59310848975164
191,3.62743633598514
192,3.66197056841621
193,3.69671165442754
194,3.73166005412565
195,3.76681622041423
196,3.80218059906765
197,3.83775362880468
198,3.87353574136226
199,3.9095273615694
200,3.9457289074211
